Wall time,Step,Value
1524631331.976372,0,0.22160357236862183
1524631380.7454643,1,0.4565701484680176
1524631424.454035,2,0.5935412049293518
1524631467.9042935,3,0.685968816280365
1524631511.3137956,4,0.7477728128433228
1524631559.3973858,5,0.7956570386886597
1524631599.591776,6,0.8290646076202393
1524631641.4003618,7,0.8402004241943359
1524631681.2866762,8,0.8791759610176086
1524631722.009918,9,0.8925389647483826
1524631769.8607278,10,0.9192650318145752
1524631811.0152838,11,0.9209353923797607
1524631851.6330848,12,0.9276169538497925
1524631892.405241,13,0.9415367245674133
1524631934.092942,14,0.9309576749801636
1524631984.3078783,15,0.9393095970153809
1524632025.0052273,16,0.9432071447372437
1524632065.7635436,17,0.9543429613113403
1524632104.7901568,18,0.9576837420463562
1524632144.2068367,19,0.9638084769248962
1524632191.397175,20,0.9626948833465576
1524632231.746903,21,0.9604676961898804
1524632272.870957,22,0.9665924310684204
1524632312.9023764,23,0.9704899787902832
1524632353.3037047,24,0.967706024646759
1524632405.0773082,25,0.9738307595252991
1524632445.6578841,26,0.9782850742340088
1524632485.862579,27,0.974387526512146
1524632527.0756733,28,0.9738307595252991
1524632567.7324574,29,0.9721603393554688
1524632615.4282596,30,0.9777283072471619
1524632656.4344594,31,0.9766147136688232
1524632699.453837,32,0.980512261390686
1524632739.5786653,33,0.9766147136688232
1524632778.8122876,34,0.9821826219558716
1524632825.1205192,35,0.9855234026908875
1524632864.4812973,36,0.981069028377533
1524632903.7697968,37,0.9832962155342102
1524632943.3858075,38,0.9793986678123474
1524632983.9052045,39,0.9844098091125488
1524633031.4383585,40,0.9894209504127502
1524633071.8075995,41,0.9838530421257019
1524633112.2496371,42,0.9827394485473633
1524633153.239137,43,0.981069028377533
1524633194.061451,44,0.9821826219558716
1524633241.0362327,45,0.9860801696777344
1524633281.3254979,46,0.9866369962692261
1524633322.68456,47,0.9838530421257019
1524633363.9245944,48,0.9905345439910889
1524633403.9411569,49,0.9860801696777344
1524633450.4425902,50,0.9894209504127502
1524633488.9763076,51,0.9855234026908875
1524633527.5436556,52,0.9838530421257019
1524633566.1895998,53,0.9793986678123474
1524633604.9079418,54,0.9855234026908875
1524633650.6721573,55,0.9905345439910889
1524633689.4107418,56,0.9866369962692261
1524633728.032,57,0.9894209504127502
1524633766.6224995,58,0.987193763256073
1524633805.3059742,59,0.9899777173995972
1524633851.021017,60,0.9927616715431213
1524633889.8409371,61,0.9894209504127502
1524633928.3845224,62,0.9821826219558716
1524633967.2793875,63,0.9866369962692261
1524634007.504337,64,0.9877505898475647
1524634054.759847,65,0.9849665760993958
1524634094.4376123,66,0.993318498134613
1524634134.5128186,67,0.9905345439910889
1524634175.340332,68,0.993318498134613
1524634214.1271822,69,0.9905345439910889
1524634261.5404062,70,0.9922049045562744
1524634302.869695,71,0.9916481375694275
1524634341.868947,72,0.9944320917129517
1524634381.1322591,73,0.9927616715431213
1524634420.274073,74,0.9905345439910889
1524634468.9771755,75,0.9832962155342102
1524634509.7487237,76,0.9860801696777344
1524634550.1129987,77,0.9905345439910889
1524634590.010603,78,0.9855234026908875
1524634629.5401938,79,0.9905345439910889
