Wall time,Step,Value
1524661932.0350235,0,2.71781849861145
1524666457.1221757,1,1.8493863344192505
1524670998.064645,2,1.3022211790084839
1524675572.642751,3,0.8995510935783386
1524680098.0169027,4,0.6350774168968201
1524684913.8826902,5,0.4554916024208069
1524689422.1125157,6,0.3656632900238037
1524693792.2471108,7,0.2764691114425659
1524698159.1143777,8,0.2359081357717514
1524702525.607001,9,0.177978977560997
1524707340.081839,10,0.15490908920764923
1524711701.8850617,11,0.12296003103256226
1524716050.78579,12,0.11625970900058746
1524720463.9291651,13,0.10159401595592499
1524724881.2441292,14,0.08956735581159592
1524729527.4397027,15,0.08807899057865143
1524733942.2956128,16,0.08515077829360962
1524738465.4659333,17,0.05924168601632118
1524742828.818294,18,0.05397918075323105
1524747263.163693,19,0.06432431936264038
1524751998.2529695,20,0.05120499059557915
1524756359.5025508,21,0.04669835418462753
1524760742.9502518,22,0.04584185779094696
1524765092.4366858,23,0.03615054115653038
1524769436.373612,24,0.04288489371538162
1524774055.5847144,25,0.043899282813072205
1524778405.6441698,26,0.03521347790956497
1524782755.7471514,27,0.032083529978990555
1524787099.0354273,28,0.020707419142127037
1524791447.254068,29,0.025224193930625916
1524796061.5445194,30,0.028021181002259254
1524800323.9383283,31,0.030352028086781502
1524804560.9631479,32,0.023934563621878624
1524808888.8469255,33,0.024769501760601997
1524813188.4309497,34,0.026209039613604546
1524817795.7680168,35,0.029735267162322998
1524822152.1642885,36,0.025341324508190155
1524826733.1349728,37,0.0246791522949934
1524831384.1071386,38,0.02489309199154377
1524836084.8063517,39,0.02351449802517891
1524840851.0964406,40,0.018171722069382668
1524845289.6791422,41,0.020465834066271782
1524849653.9800704,42,0.015535539016127586
1524854011.0645857,43,0.021251574158668518
1524858375.309511,44,0.016776062548160553
1524863004.207592,45,0.018761111423373222
1524867365.0983253,46,0.019189022481441498
1524871724.5809803,47,0.013828733935952187
1524876065.2329335,48,0.007292052265256643
1524880537.6422179,49,0.015555932186543941
1524885385.5691543,50,0.011567537672817707
1524889718.2097619,51,0.017590172588825226
1524894061.645109,52,0.012246089987456799
1524898398.147159,53,0.01227810699492693
1524902737.2491584,54,0.010048409923911095
1524907345.2369213,55,0.007581053301692009
1524911684.3507094,56,0.009348580613732338
1524916011.075542,57,0.007564129773527384
1524920336.4151428,58,0.010499056428670883
1524924667.4763868,59,0.022788407281041145
1524929272.8591545,60,0.023362116888165474
1524933607.5493546,61,0.024925164878368378
1524937941.7222757,62,0.015182730741798878
1524942277.6553538,63,0.015453379601240158
1524946613.5849543,64,0.006064897868782282
1524951212.6072423,65,0.014141710475087166
1524955545.314489,66,0.02069193311035633
1524959905.590597,67,0.010496014729142189
1524964892.8260763,68,0.00822948757559061
1524969451.434845,69,0.00916691031306982
1524974337.9690955,70,0.00932327564805746
1524978715.7287948,71,0.009867103770375252
1524983002.2810209,72,0.008502813056111336
1524987240.0577035,73,0.024027861654758453
1524991894.8401163,74,0.030768848955631256
1524996776.5641158,75,0.015224205330014229
1525001104.0894227,76,0.014619850553572178
1525005438.4245248,77,0.016015497967600822
1525009869.1136727,78,0.012935293838381767
1525014200.1594357,79,0.010489348322153091
